freq,indic_env,material,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DMC,MF4,THS_T,AL	1161.436 	1158.586 	1055.078 	1405.294 	1736.943 	1424.566 	1373.592 	1713.167 	: 	: 
A,DMC,MF4,THS_T,AT	21584.862 	22256.861 	23817.238 	24099.163 	23117.96 	24632.155 	22613.986 	22462.655 	20596.775 	20734.273 s
A,DMC,MF4,THS_T,BA	: 	14810.639 	16426.875 	17114.446 	17442.547 	16400.47 	16222.61 	15789.864 	15844.402 	: 
A,DMC,MF4,THS_T,BE	28111.126 	28346.046 	29211.376 	32131.03 	29196.434 	31299.213 	25138.138 	20097.234 	27070.166 	46319.195 e
A,DMC,MF4,THS_T,BG	38685.138 	43674.483 	39160.551 	42585.238 	37980.375 	35676.818 	29796.025 	36959.889 	43885.963 	26714.275 s
A,DMC,MF4,THS_T,CH	15183.713 	15114.471 	14932.032 	14939.105 	14080.796 	15136.458 	12956.442 	12894.757 	12945.077 	13137.436 e
A,DMC,MF4,THS_T,CY	2031.867 	2025.504 	2133.522 	2193.564 	2150.096 	2144.112 	2316.658 	1983.991 	1907.013 	2069.098 s
A,DMC,MF4,THS_T,CZ	60635.819 	60693.843 	59524.957 	61226.44 	60437.45 	59674.92 	48732.093 	50794.709 	54196.148 	47756.335 s
A,DMC,MF4,THS_T,DE	424625.943 	429540.394 	426893.708 	409823.139 	398430.502 	356491.537 	314917.965 	344836.47 	331297.708 	274379.614 s
A,DMC,MF4,THS_T,DK	26230.523 	25616.626 	25417.618 	26667.597 	26737.676 	25330.782 	22069.008 	21682.018 	24060.701 	25572.462 s
A,DMC,MF4,THS_T,EE	16077.13 	15586.012 	13276.323 	15940.325 	16654.549 	12260.087 	9001.849 	8648.065 	11179.865 	13118.062 s
A,DMC,MF4,THS_T,EL	67536.268 	64774.978 	51650.189 	56974.18 	57100.42 	46820.548 	33344.132 	32661.393 	33912.106 	28419.136 s
A,DMC,MF4,THS_T,ES	89402.922 	93355.153 	86048.171 	92027.95 	85884.156 	83390.224 	70323.473 	76147.622 	82866.554 	63251.789 s
A,DMC,MF4,THS_T,EU27_2020	1432480.273 s	1458451.687 s	1404541.186 s	1406102.178 	1394017.142 	1290776.57 	1101876.688 	1159683.85 	1235521.056 	1065636.647 s
A,DMC,MF4,THS_T,FI	24203.839 	19408.801 	18819.902 	18187.588 	22259.129 	18019.94 	15103.292 	12402.627 	14388.563 	12574.338 s
A,DMC,MF4,THS_T,FR	124263.808 	127882.602 	128974.853 	133054.995 	131791.782 	129770.298 	110882.962 	118784.39 	124388.178 	113896.104 s
A,DMC,MF4,THS_T,HR	6268.613 	6710.096 	6838.568 	6534.423 	5905.038 	5846.417 	5325.035 	5859.15 	6568.174 	6452.382 s
A,DMC,MF4,THS_T,HU	25405.437 	23394.774 	22918.794 	23156.531 	21733.797 	23508.962 	19567.021 	17956.706 	17938.908 	16612.083 s
A,DMC,MF4,THS_T,IE	17010.376 	16744.543 	17263.535 	18234.851 	19071.889 	15262.648 	11408.391 	13294.192 	13713.209 	13690.495 s
A,DMC,MF4,THS_T,IS	1048.081 	1271.356 	1429.25 	1563.127 	1706.478 	1335.014 	913.548 	973.701 	1365.025 	: 
A,DMC,MF4,THS_T,IT	132885.41 	136277.423 	133767.533 	138538.638 	135375.812 	133640.155 	114965.779 	123860.686 	131238.587 	120192.02 s
A,DMC,MF4,THS_T,LT	4912.678 	5440.814 	5088.229 	5379.104 	5701.029 	5780.781 	5623.418 	5525.403 	6051.206 	5657.026 s
A,DMC,MF4,THS_T,LU	2878.386 	3128.715 	3089.58 	3815.133 	3122.814 	3485.3 	3787.864 	3618.449 	2708.487 	2547.58 
A,DMC,MF4,THS_T,LV	2130.59 	2705.977 	2030.641 	2478.08 	2753.557 	2412.657 	1818.19 	1425.718 	2175.549 	1654.546 s
A,DMC,MF4,THS_T,MK	7827.331 	7263.494 	6618.795 	6523.838 	6448.152 	7024.635 	6506.243 	5912.451 	7074.018 	: 
A,DMC,MF4,THS_T,MT	2462.954 	2477.279 	2736.418 	1997.838 	2399.839 	1800.932 	2287.024 	1823.765 	1680.595 	1868.377 s
A,DMC,MF4,THS_T,NL	73845.55 	81066.638 	75426.513 	82263.522 	87300.736 	79717.648 	69873.841 	62254.58 	75172.502 	62094.975 s
A,DMC,MF4,THS_T,NO	40045.27 	45081 	42247.005 	35529 	47257.5 	41205 	38696 	31758 	37566 	: 
A,DMC,MF4,THS_T,PL	160933.873 	159405.208 	157613.321 	163575.556 	169972.35 	157420.974 	141021.765 	146584.055 	156742.419 	136206.633 s
A,DMC,MF4,THS_T,PT	16347.191 	17338.436 	16851.342 	18232.731 	17086.82 	15791.875 	12440.898 	12472.736 	13368.249 	11875.05 s
A,DMC,MF4,THS_T,RO	43775.753 s	46076.402 s	43287.78 s	46881.001 	45168.681 	44187.16 	36204.601 	40613.129 	39616.365 	34691.745 s
A,DMC,MF4,THS_T,RS	35678.641 	44559.937 	44912.828 	46663.11 	44585.09 	45957.518 	45792.872 	43504.369 	: 	: 
A,DMC,MF4,THS_T,SE	16715.268 	16244.064 	17584.809 	16366.718 	18369.042 	16819.912 	15539.4 	13470.745 	16138.363 	14105.349 s
A,DMC,MF4,THS_T,SI	6847.381 	7004.46 	6964.794 	7116.89 	6821.18 	7139.841 	6620.875 	6054.714 	6230.162 	6043.476 s
A,DMC,MF4,THS_T,SK	13042.951 	12535.451 	12611.099 	12274.476 	13180.458 	12145.759 	10605.881 	11200.241 	10782.721 	10222.185 s
A,DMC,MF4,THS_T,TR	117100.916 	144203.435 	169657.317 	180118.39 	178722.501 	178787.494 	132035.999 	181559.987 	192262.364 	: 
